customer_id,item_id,review_text,rating
65,9,This is a review for dish 25,1
89,43,This is a review for dish 33,2
71,48,This is a review for dish 38,3
9,39,This is a review for dish 6,2
88,29,This is a review for dish 44,3
1,42,This is a review for dish 45,5
8,26,This is a review for dish 32,4
88,35,This is a review for dish 45,5
63,50,This is a review for dish 47,2
11,25,This is a review for dish 21,4
81,24,This is a review for dish 16,3
8,13,This is a review for dish 21,4
35,7,This is a review for dish 11,1
35,36,This is a review for dish 37,4
33,45,This is a review for dish 36,1
5,20,This is a review for dish 35,4
41,1,This is a review for dish 19,1
28,8,This is a review for dish 20,2
7,46,This is a review for dish 18,5
73,16,This is a review for dish 47,3
72,14,This is a review for dish 41,4
12,12,This is a review for dish 49,5
34,23,This is a review for dish 14,3
33,15,This is a review for dish 15,3
48,28,This is a review for dish 31,1
23,34,This is a review for dish 1,2
62,2,This is a review for dish 3,2
88,32,This is a review for dish 16,5
37,23,This is a review for dish 23,2
99,22,This is a review for dish 11,4
44,25,This is a review for dish 12,2
86,22,This is a review for dish 10,5
91,22,This is a review for dish 32,2
35,49,This is a review for dish 16,4
65,42,This is a review for dish 8,1
99,6,This is a review for dish 38,5
47,15,This is a review for dish 12,1
78,43,This is a review for dish 24,1
3,37,This is a review for dish 28,1
1,33,This is a review for dish 8,3
5,8,This is a review for dish 28,3
90,44,This is a review for dish 36,1
14,44,This is a review for dish 26,5
27,5,This is a review for dish 8,4
9,39,This is a review for dish 50,4
79,4,This is a review for dish 28,2
15,6,This is a review for dish 28,5
90,45,This is a review for dish 37,3
42,32,This is a review for dish 41,1
77,30,This is a review for dish 36,2
51,47,This is a review for dish 27,4
63,35,This is a review for dish 17,3
96,40,This is a review for dish 9,3
52,16,This is a review for dish 33,1
96,13,This is a review for dish 20,4
4,50,This is a review for dish 13,5
94,42,This is a review for dish 28,3
23,30,This is a review for dish 48,1
15,19,This is a review for dish 29,5
43,17,This is a review for dish 13,4
29,19,This is a review for dish 46,3
36,28,This is a review for dish 35,5
13,26,This is a review for dish 6,5
32,37,This is a review for dish 18,5
71,26,This is a review for dish 5,3
59,23,This is a review for dish 47,3
86,9,This is a review for dish 25,2
28,12,This is a review for dish 2,4
66,1,This is a review for dish 10,1
42,1,This is a review for dish 30,5
45,47,This is a review for dish 50,2
62,34,This is a review for dish 45,1
57,32,This is a review for dish 5,2
6,48,This is a review for dish 33,3
28,25,This is a review for dish 1,5
28,40,This is a review for dish 18,1
44,45,This is a review for dish 32,1
84,1,This is a review for dish 47,1
30,16,This is a review for dish 49,1
62,39,This is a review for dish 11,1
75,5,This is a review for dish 21,2
92,22,This is a review for dish 26,5
89,29,This is a review for dish 25,3
62,3,This is a review for dish 22,3
97,12,This is a review for dish 27,3
1,26,This is a review for dish 49,3
27,16,This is a review for dish 13,2
62,37,This is a review for dish 33,4
77,22,This is a review for dish 34,5
3,29,This is a review for dish 41,1
70,14,This is a review for dish 35,4
72,28,This is a review for dish 1,3
27,5,This is a review for dish 21,4
9,47,This is a review for dish 48,5
62,49,This is a review for dish 6,1
37,30,This is a review for dish 28,1
97,46,This is a review for dish 17,5
51,5,This is a review for dish 5,5
44,12,This is a review for dish 31,3
24,16,This is a review for dish 5,1
79,26,This is a review for dish 38,4
59,26,This is a review for dish 3,2
32,48,This is a review for dish 23,2
96,21,This is a review for dish 37,5
88,39,This is a review for dish 37,3
52,36,This is a review for dish 10,2
62,33,This is a review for dish 10,1
58,30,This is a review for dish 19,5
52,37,This is a review for dish 17,4
12,23,This is a review for dish 21,5
39,10,This is a review for dish 14,4
2,5,This is a review for dish 9,5
3,36,This is a review for dish 46,5
56,34,This is a review for dish 1,5
81,31,This is a review for dish 45,4
59,10,This is a review for dish 13,4
2,19,This is a review for dish 4,5
2,32,This is a review for dish 1,2
92,1,This is a review for dish 49,3
54,5,This is a review for dish 40,3
87,45,This is a review for dish 32,3
96,4,This is a review for dish 34,4
97,16,This is a review for dish 28,4
1,24,This is a review for dish 31,2
19,16,This is a review for dish 8,3
2,2,This is a review for dish 39,3
53,49,This is a review for dish 26,5
44,28,This is a review for dish 34,4
90,32,This is a review for dish 3,3
32,27,This is a review for dish 50,2
70,20,This is a review for dish 12,2
32,24,This is a review for dish 1,3
68,12,This is a review for dish 44,4
55,50,This is a review for dish 5,2
75,35,This is a review for dish 30,5
56,33,This is a review for dish 30,2
17,33,This is a review for dish 17,1
38,43,This is a review for dish 48,1
24,37,This is a review for dish 47,4
69,12,This is a review for dish 23,3
98,3,This is a review for dish 15,4
70,1,This is a review for dish 37,4
86,33,This is a review for dish 21,4
11,40,This is a review for dish 14,4
16,10,This is a review for dish 2,5
97,43,This is a review for dish 11,5
73,44,This is a review for dish 39,2
59,29,This is a review for dish 38,1
70,13,This is a review for dish 34,4
80,12,This is a review for dish 38,2
93,31,This is a review for dish 50,1
3,46,This is a review for dish 34,3
20,2,This is a review for dish 18,5
59,50,This is a review for dish 30,1
36,35,This is a review for dish 15,3
19,23,This is a review for dish 27,1
90,17,This is a review for dish 34,5
67,26,This is a review for dish 38,5
19,8,This is a review for dish 33,2
20,29,This is a review for dish 24,4
96,26,This is a review for dish 15,1
71,10,This is a review for dish 30,1
52,26,This is a review for dish 42,3
33,34,This is a review for dish 17,5
40,41,This is a review for dish 5,1
39,7,This is a review for dish 29,5
82,4,This is a review for dish 4,1
1,50,This is a review for dish 10,2
11,45,This is a review for dish 17,4
92,11,This is a review for dish 10,1
57,29,This is a review for dish 17,5
89,36,This is a review for dish 20,2
50,25,This is a review for dish 24,1
23,21,This is a review for dish 5,3
31,36,This is a review for dish 34,4
94,10,This is a review for dish 6,1
42,37,This is a review for dish 2,2
99,9,This is a review for dish 13,3
7,24,This is a review for dish 43,2
16,35,This is a review for dish 43,2
90,49,This is a review for dish 48,3
60,35,This is a review for dish 11,2
2,48,This is a review for dish 47,3
1,36,This is a review for dish 23,1
48,18,This is a review for dish 16,3
12,49,This is a review for dish 31,3
69,39,This is a review for dish 11,4
37,32,This is a review for dish 16,3
32,24,This is a review for dish 8,3
9,23,This is a review for dish 4,1
99,32,This is a review for dish 40,4
19,37,This is a review for dish 4,5
48,12,This is a review for dish 25,1
